filename,SymPLC
industrial1,95.1
industrial2,95.5
industrial3,99.7
industrial4,98.9
industrial5,98.8
industrial6,84.1
industrial7,92.4
industrial8,60.0
industrial11,97.8
industrial12,99.9
industrial13,61.5
industrial15,65.7
